Series_Complete_18PlusPop_Pct,SVI_CTGY,per_gop,life_expectancy,per_foodinsecurity,med_household_income,per_rural,per_65andover,per_18andyounger,per_broadband,per_BIPOC,per_uninsured,primarycarephysicians_ratio,per_flushotvaccine,per_somecollege,per_unemployed,per_poverty
0.8079999999999999,A,0.3920326058374967,81,0.08,86450,0.308,0.215,0.162,0.89,0.022,0.03,1117,0.46,0.75,0.031,0.08
0.436,B,0.6652953137560883,75.8,0.09,69878,0.504,0.168,0.21600000000000005,0.83,0.054,0.12,1905,0.5,0.54,0.02799999999999999,0.097
0.625,D,0.6021741116287567,76,0.16,54553,0.755,0.201,0.206,0.79,0.273,0.12,2634,0.58,0.58,0.042,0.154
0.561,A,0.861430159318266,78.3,0.11,49485,1,0.231,0.222,0.76,0.014,0.11,836,0.47,0.7,0.035,0.105
0.933,D,0.4712864934231633,73.9,0.18,44090,1,0.158,0.295,0.7,0.51,0.16,1702,0.28,0.6,0.035,0.213
0.629,D,0.724642820954504,75.3,0.18,45120,0.509,0.173,0.228,0.77,0.216,0.11,4896,0.42,0.58,0.031,0.181
0.5,A,0.831603229527105,78.2,0.13,50705,1,0.253,0.222,0.75,0.011,0.11,1572,0.26,0.65,0.02799999999999999,0.122
0.743,A,0.538329799380199,80,0.12,56934,1,0.27,0.177,0.84,0.02099999999999999,0.08,1614,0.54,0.67,0.051,0.096
0.482,B,0.7965781859353378,76.6,0.11,54309,0.723,0.213,0.225,0.72,0.016,0.07,1735,0.22,0.54,0.043,0.14400000000000002
0.406,D,0.821937550040032,68.3,0.16,50893,0.674,0.152,0.198,0.67,0.224,0.14,3735,0.42,0.32,0.03,0.199
0.52,D,0.7005530887278959,75.2,0.17,52903,0.591,0.163,0.233,0.77,0.029,0.06,2169,0.5,0.53,0.053,0.158
0.596,A,0.7022793453157947,79,0.08,60297,0.276,0.199,0.2,0.78,0.035,0.08,1230,0.57,0.68,0.023,0.108
0.485,B,0.7356623586429726,76.1,0.15,53387,1,0.199,0.207,0.73,0.009,0.11,10423,0.49,0.47,0.04,0.12
0.59,A,0.6057193304780425,78.2,0.09,61435,0.16699999999999998,0.174,0.233,0.84,0.057,0.08,1020,0.55,0.66,0.032,0.113
0.568,A,0.7951237263464338,76.3,0.11,75009,0.772,0.157,0.255,0.86,0.08099999999999999,0.16,2221,0.53,0.64,0.027,0.071
0.784,B,0.33013630458808096,79.9,0.1,69408,0.097,0.174,0.183,0.84,0.132,0.04,1027,0.55,0.77,0.036,0.117
0.585,C,0.8422459893048129,74.2,0.16,43952,0.999,0.18600000000000003,0.18899999999999997,0.71,0.043,0.13,7193,0.39,0.31,0.04099999999999999,0.22
0.561,D,0.3728787411292811,73.5,0.17,35364,0.545,0.224,0.188,0.63,0.602,0.13,2855,0.25,0.61,0.05599999999999999,0.242
0.516,A,0.7420493266266429,77.7,0.09,65401,0.885,0.19,0.213,0.78,0.014,0.09,3845,0.53,0.48,0.037,0.08900000000000001
0.52,B,0.873576529627485,77.1,0.13,58983,0.647,0.165,0.289,0.83,0.023,0.11,2154,0.49,0.59,0.031,0.121
0.506,A,0.8059540889526542,81.1,0.12,59980,0.6990000000000001,0.198,0.232,0.75,0.005,0.07,4806,0.37,0.61,0.042,0.099
0.441,D,0.6257643135075042,77,0.19,41575,1,0.241,0.203,0.61,0.4,0.17,6163,0.25,0.46,0.07,0.209
0.55,B,0.7489125543722814,74.9,0.15,46824,0.539,0.232,0.197,0.71,0.006,0.08,1909,0.39,0.39,0.07200000000000001,0.163
0.623,C,0.6300365556458164,76.8,0.13,52620,0.27,0.173,0.243,0.83,0.052,0.06,1872,0.53,0.66,0.039,0.154
0.6609999999999999,B,0.7243406685704686,80.2,0.12,69610,0.995,0.16899999999999998,0.226,0.86,0.119,0.12,5355,0.49,0.59,0.039,0.076
0.26,B,0.8194612794612794,77.5,0.14,47980,1,0.306,0.162,0.83,0.012,0.19,2164,0.48,0.53,0.033,0.121
0.594,B,0.4469433653649561,77,0.14,41780,0.336,0.245,0.13699999999999998,0.74,0.046,0.1,761,0.5,0.56,0.032,0.159
0.426,D,0.8034078534366793,74.9,0.18,47252,0.782,0.202,0.238,0.65,0.166,0.17,2759,0.4,0.39,0.061,0.195
0.447,A,0.7122586530177875,80.1,0.06,94293,0.997,0.19,0.181,0.9,0.095,0.1,2432,0.55,0.62,0.025,0.054
0.581,C,0.6712716566640244,77.7,0.17,44017,1,0.258,0.181,0.72,0.02,0.08,3008,0.42,0.54,0.066,0.172
